company_name,domain,keyword,company_url
Presidio + India + India,www.presidio.com,windows,https://www.presidio.com/client-stories/futureproofing-linux-and-postgresql-workloads-in-azure-cloud-2/
Presidio + India + India,www.presidio.com,android,https://www.presidio.com/client-stories/futureproofing-linux-and-postgresql-workloads-in-azure-cloud-2/
PetSure (Australia) Pty Ltd + Australia + ANZ,www.petsure.com.au,ios,https://petsure.com.au/webinars/helping-pets-avoid-separation-anxiety/
Premier Group of Companies + Thailand + ASEAN,www.premier.co.th,windows,https://www.premier.co.th/hiring/datapro-computer-systems-co-ltd/
Premier Group of Companies + Thailand + ASEAN,www.premier.co.th,linux,https://www.premier.co.th/hiring/datapro-computer-systems-co-ltd/
Premier Group of Companies + Thailand + ASEAN,www.premier.co.th,ubuntu,https://www.premier.co.th/hiring/datapro-computer-systems-co-ltd/
QUESS CORP LIMITED + India + India,www.quesscorp.com,linux,https://www.quesscorp.com/wp-content/uploads/2022/11/Quess-IT-Staffing-Skills-Report-Q2FY24-Oct-2023.pdf
QUESS CORP LIMITED + India + India,www.quesscorp.com,ibm aix,https://www.quesscorp.com/wp-content/uploads/2022/11/Quess-IT-Staffing-Skills-Report-Q2FY24-Oct-2023.pdf
Quinnox + India + India,www.quinnox.com,windows,https://www.quinnox.com/career/
Quinnox + India + India,www.quinnox.com,android,https://www.quinnox.com/career/
Quinnox + India + India,www.quinnox.com,ios,https://www.quinnox.com/career/
Quinnox Consultancy Services Limited + India + India,www.quinnox.com,windows,https://www.quinnox.com/career/
Quinnox Consultancy Services Limited + India + India,www.quinnox.com,android,https://www.quinnox.com/career/
Quinnox Consultancy Services Limited + India + India,www.quinnox.com,ios,https://www.quinnox.com/career/
QUESS CORP LIMITED + India + India,www.quesscorp.com,windows,https://www.quesscorp.com/investor/dist/images/pdf/Announcements/SE-IntimationReceiptof-1st-motionorder.pdf
RCBC Leasing and Finance + Philippines + ASEAN,www.rcbc.com,android,https://www.rcbc.com/update-now
RCBC Leasing and Finance + Philippines + ASEAN,www.rcbc.com,ios,https://www.rcbc.com/update-now
RCBC (Rizal Commercial Banking Corporation) + Philippines + ASEAN,www.rcbc.com,android,https://www.rcbc.com/update-now
RCBC (Rizal Commercial Banking Corporation) + Philippines + ASEAN,www.rcbc.com,ios,https://www.rcbc.com/update-now
RCBC Bankard + Philippines + ASEAN,www.rcbc.com,android,https://www.rcbc.com/update-now
RCBC Bankard + Philippines + ASEAN,www.rcbc.com,ios,https://www.rcbc.com/update-now
RCBC (Rizal Commercial Banking Corporation) + Philippines + ASEAN,www.rcbc.com,windows,https://www.rcbc.com/bucket-list-travel-destinations
RCBC Leasing and Finance + Philippines + ASEAN,www.rcbc.com,windows,https://www.rcbc.com/bucket-list-travel-destinations
RCBC Bankard + Philippines + ASEAN,www.rcbc.com,windows,https://www.rcbc.com/bucket-list-travel-destinations
RCBC Forex Brokers Corp + Philippines + ASEAN,www.rcbc.com,windows,https://www.rcbc.com/bucket-list-travel-destinations
Rhenus Freight Network GmbH + Singapore + ASEAN,www.rhenus.group,ios,https://www.rhenus.group/at/en/news-media/detail/rhenus-document-services-and-ios-informations-und-organisations-systeme-become-rhenus-docs-to-data/
Reliance Securities Limited + India + India,www.reliancesmartmoney.com,windows,https://www.reliancesmartmoney.com/stocks/trading-platforms/tick-pc
Reliance Securities Limited + India + India,www.reliancesmartmoney.com,android,https://www.reliancesmartmoney.com/stocks/trading-platforms/tick-pc
Reliance Securities Limited + India + India,www.reliancesmartmoney.com,ios,https://www.reliancesmartmoney.com/stocks/trading-platforms/tick-pc
RCBC Capital Corp + Philippines + ASEAN,www.rcbc.com,android,https://www.rcbc.com/update-now
RCBC Capital Corp + Philippines + ASEAN,www.rcbc.com,ios,https://www.rcbc.com/update-now
RCBC Forex Brokers Corp + Philippines + ASEAN,www.rcbc.com,android,https://www.rcbc.com/uitf-portfolio-now-managed-through-a-mobile-banking-app
Ricoh (Singapore) Pte Ltd + Singapore + ASEAN,www.ricoh.sg,windows,https://www.ricoh.sg/news/notice-on-microsoft-windows-print-spooler-vulnerability
Ricoh (Singapore) Pte Ltd + Singapore + ASEAN,www.ricoh.sg,linux,https://www.ricoh.sg/products/workplace-solutions/interactive-whiteboard/iwb-product/ricoh-interactive-whiteboard-a6510
Ricoh (Singapore) Pte Ltd + Singapore + ASEAN,www.ricoh.sg,android,https://www.ricoh.sg/products/workplace-solutions/interactive-whiteboard/iwb-product/ricoh-interactive-whiteboard-a6510
Rhenus Freight Network GmbH + Singapore + ASEAN,www.rhenus.group,windows,https://www.rhenus.group/air-freight/air-charter-freight/
RCBC Capital Corp + Philippines + ASEAN,www.rcbc.com,windows,https://www.rcbc.com/bucket-list-travel-destinations
RCBC Forex Brokers Corp + Philippines + ASEAN,www.rcbc.com,ios,https://www.rcbc.com/our-business
RMZ Corp + India + India,www.rmz.com,windows,https://www.rmz.com/real-estate/rmz-office
RPG Enterprises + India + India,www.rpggroup.com,ubuntu,https://www.rpggroup.com/assets/investors/pdfs/zensar-annual-report-2024-251753776512.pdf
RPG Enterprises + India + India,www.rpggroup.com,ios,https://www.rpggroup.com/assets/investors/pdfs/zensar-annual-report-2024-251753776512.pdf
lucideus (Safe Security) + India + India,www.safe.security,linux,https://safe.security/resources/reports-research/linux-privilege-escalation-tutorial/
lucideus (Safe Security) + India + India,www.safe.security,ubuntu,https://safe.security/wp-content/uploads/ubuntu-overlayfs-privesc-vulnerability.pdf
lucideus (Safe Security) + India + India,www.safe.security,android,https://safe.security/wp-content/uploads/android-vulnerability-in-es-file-explorer.pdf
RPG Enterprises + India + India,www.rpggroup.com,windows,https://www.rpggroup.com/assets/investors/pdfs/kinec-international-annual-report-fy24-251753777154.pdf
SAMSUNG INDIA ELECTRONICS SERVICE CENTRE BTM LYT #new account + India + India,www.samsung.com,android,https://www.samsung.com/uk/mobile-phone-buying-guide/why-android/
Samsung India + India + India,www.samsung.com,android,https://www.samsung.com/uk/mobile-phone-buying-guide/why-android/
SAMSUNG INDIA ELECTRONICS SERVICE CENTRE BTM LYT #new account + India + India,www.samsung.com,windows,https://www.samsung.com/ie/support/computing/how-to-upgrade-your-samsung-computer-to-windows-11/
Samsung India + India + India,www.samsung.com,windows,https://www.samsung.com/ca/support/mobile-devices/galaxy-phone-set-up-link-to-windows/
SAMSUNG INDIA ELECTRONICS SERVICE CENTRE BTM LYT #new account + India + India,www.samsung.com,ios,https://www.samsung.com/uk/mobile-phone-buying-guide/why-android/
Samsung India + India + India,www.samsung.com,ios,https://www.samsung.com/uk/mobile-phone-buying-guide/why-android/
Southeast Asia Bank (SeABank) + Vietnam + ASEAN,www.seabank.com.vn,ios,https://www.seabank.com.vn/search?search=iOS&type=undefined&customer=undefined&p=undefined
Southeast Asia Bank (SeABank) + Vietnam + ASEAN,www.seabank.com.vn,android,https://www.seabank.com.vn/search?search=iOS&type=undefined&customer=undefined&p=undefined
Saigon - Ha Noi Commercial Joint Stock Bank (SHB) + Vietnam + ASEAN,www.shb.com.vn,ios,https://www.shb.com.vn/thong-bao-nang-cap-phien-ban-shb-mobile-tren-he-dieu-hanh-ios-tang-chat-luong-trai-nghiem/
Saigon - Ha Noi Commercial Joint Stock Bank (SHB) + Vietnam + ASEAN,www.shb.com.vn,android,https://www.shb.com.vn/shb-khuyen-cao-khach-hang-cap-nhat-lai-ung-dung-shb-mobile-tren-he-dieu-hanh-android/
SoftdeBut Company Ltd. + Thailand + ASEAN,www.softdebut.com,windows,https://www.softdebut.com/en/products/software-tool/parallels
SoftdeBut Company Ltd. + Thailand + ASEAN,www.softdebut.com,linux,https://www.softdebut.com/en/products/software-tool/parallels
SoftdeBut Company Ltd. + Thailand + ASEAN,www.softdebut.com,ubuntu,https://www.softdebut.com/en/products/software-tool/parallels
Sysmex Asia Pacific Pte. Ltd. + Singapore + ASEAN,www.sysmex-ap.com,android,https://www.sysmex-ap.com/product/eclair-touch/
Sysmex Asia Pacific Pte. Ltd. + Singapore + ASEAN,www.sysmex-ap.com,ios,https://www.sysmex-ap.com/product/eclair-touch/
Sun Group + Vietnam + ASEAN,www.sungroup.com.vn,android,https://tuyendung.sungroup.com.vn/careers/job/7628
Sun Group + Vietnam + ASEAN,www.sungroup.com.vn,ios,https://tuyendung.sungroup.com.vn/careers/job/7628
Sun Group + Vietnam + ASEAN,www.sungroup.com.vn,windows,https://tuyendung.sungroup.com.vn/careers/job/3412
Sysmex Asia Pacific Pte. Ltd. + Singapore + ASEAN,www.sysmex-ap.com,windows,https://www.sysmex-ap.com/wp-content/uploads/2020/05/Delphic_V10_Brochure.pdf
Tamil Nadu Grama Bank + India + India,www.tamilnadugramabank.in,windows,https://www.tamilnadugramabank.in/public/tenders/Amendments%20&%20Clarifications-1.pdf
Tamil Nadu Grama Bank + India + India,www.tamilnadugramabank.in,linux,https://www.tamilnadugramabank.in/public/tenders/Amendments%20&%20Clarifications-1.pdf
Tamil Nadu Grama Bank + India + India,www.tamilnadugramabank.in,ios,https://www.tamilnadugramabank.in/public/tenders/Amendments%20&%20Clarifications-1.pdf
Tesserent Australia [Duplicate] + Australia + ANZ,www.tesserent.com,windows,https://tesserent.com/insights/blog/dumping-windows-credentials
Telin Singapore Pte Ltd + Singapore + ASEAN,www.telin.net,android,https://www.telin.net/en/insight/article/one-stop-solutions-to-protect-your-digital-infrastructure
Tesserent Australia [Duplicate] + Australia + ANZ,www.tesserent.com,ios,https://tesserent.com/resources/what-is-physical-penetration-testing-pentests-explained
Telin Singapore Pte Ltd + Singapore + ASEAN,www.telin.net,ios,https://www.telin.net/en/insight/article/batic-2019-navigating-in-the-borderless-digital-world
TeamLease Services Private Ltd + India + India,www.teamlease.com,ios,https://www.teamlease.com/ios-developer-jobs
TeamLease Services Private Ltd + India + India,www.teamlease.com,linux,https://www.teamlease.com/jobs/linux-application-support-jobs-in-noida-capgemini-397672
TeamLease Services Private Ltd + India + India,www.teamlease.com,android,https://www.teamlease.com/jobs/android-developer-jobs-in-madurai-a-client-of-freshersworld-1750969?src=tljdshare
Telin Singapore Pte Ltd + Singapore + ASEAN,www.telin.net,windows,https://www.telin.net/en/company/news/telin-and-cisco-collaborate-to-reimagine-the-internet-for-the-future
Times Internet Limited (TIL) + India + India,www.timesinternet.in,android,https://tech.timesinternet.in/look-into-your-android-apps-performance-using-firebase-performance-monitoring-c332f8c71d0
Times Internet Limited (TIL) + India + India,www.timesinternet.in,ios,https://timesinternet.in/blog/gaana-2-0-on-ios-and-our-first-million-mobile-users/
Tesserent Australia [Duplicate] + Australia + ANZ,www.tesserent.com,android,https://tesserent.com/nz/solutions/application-penetration-testing
M360 Times Internet - Duplicate + India + India,www.timesinternet.in,android,https://tech.timesinternet.in/look-into-your-android-apps-performance-using-firebase-performance-monitoring-c332f8c71d0
M360 Times Internet - Duplicate + India + India,www.timesinternet.in,ios,https://timesinternet.in/blog/gaana-2-0-on-ios-and-our-first-million-mobile-users/
TELEKOM MALAYSIA BERHAD + Malaysia + ASEAN,www.tm.com.my,windows,https://www.tm.com.my/node/91
TELEKOM MALAYSIA BERHAD + Malaysia + ASEAN,www.tm.com.my,linux,https://www.tm.com.my/node/91
TELEKOM MALAYSIA BERHAD + Malaysia + ASEAN,www.tm.com.my,macos sierra,https://www.tm.com.my/node/91
TRIANZ HOLDINGS PRIVATE LIMITED + India + India,www.trianz.com,windows,https://www.trianz.com/insights/containerization-vs-virtualization
TRIANZ HOLDINGS PRIVATE LIMITED + India + India,www.trianz.com,linux,https://www.trianz.com/insights/containerization-vs-virtualization
